Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0626,15.974261,Lilangeli
Average,2012-12-31,2013-12-31,0.0669,14.953884,Lilangeli
Average,2012-03-31,2013-03-31,0.0769,13.418936,Lilangeli
Average,2011-12-31,2012-12-31,0.0769,13.006410,Lilangeli
Average,2011-03-31,2012-03-31,0.0854,11.704389,Lilangeli
Average,2010-12-31,2011-12-31,0.0865,11.560037,Lilangeli
Average,2010-03-31,2011-03-31,0.0894,11.1799,Lilangeli
Average,2009-12-31,2010-12-31,0.0883,11.3297,Lilangeli
Average,2009-03-31,2010-03-31,0.081198,12.3156,Lilangeli
Average,2008-12-31,2009-12-31,0.077127,12.9656,Lilangeli
Average,2008-03-31,2009-03-31,0.067281,14.863,Lilangeli
Average,2007-12-31,2008-12-31,0.066163,15.1142,Lilangeli
Average,2007-03-31,2008-03-31,0.069830,14.3204,Lilangeli
Average,2006-12-31,2007-12-31,0.071194,14.0461,Lilangeli
Average,2006-03-31,2007-03-31,0.074385391,13.4435,Lilangeli
Average,2005-12-31,2006-12-31,0.079353743,12.6018,Lilangeli
Average,2005-03-31,2006-03-31,0.08769,11.4034,Lilangeli
Average,2004-12-31,2005-12-31,0.08657934,11.5501,Lilangeli
Average,2004-03-31,2005-03-31,0.086943,11.5018,Lilangeli
Average,2003-12-31,2004-12-31,0.08504703,11.7582,Lilangeli
Average,2003-03-31,2004-03-31,0.083239,12.0136,Lilangeli
Average,2002-12-31,2003-12-31,0.08828073,11.3275,Lilangeli
Average,2002-03-31,2003-03-31,0.067622,14.788,Lilangeli
Average,2001-12-31,2002-12-31,0.06425207,15.5637,Lilangeli
Average,2001-03-28,2002-03-28,0.0726058230,13.773,Lilangeli
Average,2000-12-31,2001-12-31,0.0794723039,12.583,Lilangeli
Average,2000-03-31,2001-03-31,0.0920132499,10.868,Lilangeli
Average,1999-12-29,2000-12-29,0.0945572828,10.5756,Lilangeli
Average,1999-03-31,2000-03-31,0.1002817918,9.9719,Lilangeli
Average,1998-12-30,1999-12-30,0.1009591116,9.905,Lilangeli
Average,1998-03-31,1999-03-31,0.103513,9.6606,Lilangeli
Average,1997-12-31,1998-12-31,0.10857,9.2103,Lilangeli
Average,1997-03-31,1998-03-31,0.129772,7.7058,Lilangeli
Average,1996-12-30,1997-12-30,0.1325434,7.5447,Lilangeli
Average,1996-03-31,1997-03-31,0.141093,7.0875,Lilangeli
Average,1995-12-31,1996-12-31,0.174511,5.7303,Lilangeli
Average,1995-03-31,1996-03-31,0.173877,5.7512,Lilangeli
Average,1994-12-30,1995-12-30,0.17452,5.73,Lilangeli
Average,1994-03-31,1995-03-31,0.180346,5.5449,Lilangeli
Average,1993-12-30,1994-12-30,0.184594,5.4173,Lilangeli
Average,1993-03-30,1994-03-30,0.19876,5.0312,Lilangeli
Average,1992-12-31,1993-12-31,0.203936,4.9035,Lilangeli
Average,1992-03-31,1993-03-31,0.2024332,4.9399,Lilangeli
Average,1991-12-31,1992-12-31,0.1979649,5.0514,Lilangeli
Average,1991-03-31,1992-03-31,0.2042608,4.8957,Lilangeli
Average,1990-12-31,1991-12-31,0.2054105,4.8683,Lilangeli
Average,1990-03-31,1991-03-31,0.210416,4.7525,Lilangeli
Average,1989-12-31,1990-12-31,0.218412,4.5785,Lilangeli
