Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Spot,,2014-03-31,0.0925,10.8091,Swedish Krona
Average,2013-03-31,2014-03-31,0.0968,10.334775,Swedish Krona
Spot,,2013-12-31,0.094,10.6374,Swedish Krona
Average,2012-12-31,2013-12-31,0.0983,10.176862,Swedish Krona
Spot,,2013-03-31,0.1009,9.9125,Swedish Krona
Average,2012-03-31,2013-03-31,0.0944,10.595496,Swedish Krona
Spot,,2012-12-31,0.0946,10.5746,Swedish Krona
Average,2011-12-31,2012-12-31,0.0931,10.741259,Swedish Krona
Spot,,2012-03-31,0.0943,10.6016,Swedish Krona
Average,2011-03-31,2012-03-31,0.0957,10.448853,Swedish Krona
Spot,,2011-12-31,0.0939,10.6539,Swedish Krona
Average,2010-12-31,2011-12-31,0.0962,10.395490,Swedish Krona
Spot,,2011-03-31,0.0989,10.1121,Swedish Krona
Average,2010-03-31,2011-03-31,0.0914,10.9373,Swedish Krona
Spot,,2010-12-31,0.095,10.5256,Swedish Krona
Average,2009-12-31,2010-12-31,0.0897,11.1487,Swedish Krona
Spot,,2010-03-31,0.091599,10.9171,Swedish Krona
Average,2009-03-31,2010-03-31,0.085313,11.7215,Swedish Krona
Spot,,2009-12-31,0.086729,11.5302,Swedish Krona
Average,2008-12-31,2009-12-31,0.083688,11.9491,Swedish Krona
Spot,,2009-03-31,0.084389,11.8499,Swedish Krona
Average,2008-03-31,2009-03-31,0.083186,12.0213,Swedish Krona
Spot,,2008-12-31,0.087953,11.3697,Swedish Krona
Average,2007-12-31,2008-12-31,0.082722,12.0887,Swedish Krona
Spot,,2008-03-31,0.084848,11.7858,Swedish Krona
Average,2007-03-31,2008-03-31,0.075776,13.1967,Swedish Krona
Spot,,2007-12-31,0.077727,12.8656,Swedish Krona
Average,2006-12-31,2007-12-31,0.073945,13.5236,Swedish Krona
Spot,,2007-03-30,0.07266861,13.7611,Swedish Krona
Average,2006-03-31,2007-03-31,0.0735673,13.593,Swedish Krona
Spot,,2006-12-29,0.07466699,13.3928,Swedish Krona
Average,2005-12-31,2006-12-31,0.07370718,13.5672,Swedish Krona
Spot,,2006-03-31,0.073973,13.5185,Swedish Krona
Average,2005-03-31,2006-03-31,0.073107,13.67855,Swedish Krona
Spot,,2005-12-30,0.073191,13.6629,Swedish Krona
Average,2004-12-31,2005-12-31,0.07365072,13.5776,Swedish Krona
Spot,,2005-03-31,0.075137,13.3089,Swedish Krona
Average,2004-03-31,2005-03-31,0.07491,13.3494,Swedish Krona
Spot,,2004-12-31,0.0783797,12.7584,Swedish Krona
Average,2003-12-31,2004-12-31,0.07433507,13.4526,Swedish Krona
Spot,,2004-03-31,0.07215111,13.8598,Swedish Krona
Average,2003-03-31,2004-03-31,0.076088,13.1427,Swedish Krona
Spot,,2003-12-31,0.07763613,12.8806,Swedish Krona
Average,2002-12-31,2003-12-31,0.075795,13.1934,Swedish Krona
Spot,,2003-03-31,0.074614,13.4023,Swedish Krona
Average,2002-03-31,2003-03-31,0.070060,14.2735,Swedish Krona
Spot,,2002-12-31,0.071288,14.0276,Swedish Krona
Average,2001-12-31,2002-12-31,0.068636,14.5697,Swedish Krona
Spot,,2002-03-28,0.0677961505,14.7501,Swedish Krona
Average,2001-03-28,2002-03-28,0.0664442997,15.0502,Swedish Krona
Spot,,2001-12-31,0.0655020404,15.2667,Swedish Krona
Average,2000-12-31,2001-12-31,0.0671830806,14.8847,Swedish Krona
Spot,,2001-03-30,0.0681630733,14.6707,Swedish Krona
Average,2000-03-31,2001-03-31,0.0715886231,13.9687,Swedish Krona
Spot,,2000-12-29,0.0709481511,14.0948,Swedish Krona
Average,1999-12-29,2000-12-29,0.0721032519,13.869,Swedish Krona
Spot,,2000-03-31,0.0725510397,13.7834,Swedish Krona
Average,1999-03-31,2000-03-31,0.0737104359,13.5666,Swedish Krona
Spot,,1999-12-31,0.0726279705,13.7688,Swedish Krona
Average,1998-12-30,1999-12-30,0.0747764185,13.3732,Swedish Krona
Spot,,1999-03-31,0.07533298,13.2744,Swedish Krona
Average,1998-03-31,1999-03-31,0.076092,13.1419,Swedish Krona
Spot,,1998-12-31,0.07415097,13.486,Swedish Krona
Average,1997-12-31,1998-12-31,0.07589,13.1769,Swedish Krona
Spot,,1998-03-31,0.074698,13.3872,Swedish Krona
Average,1997-03-31,1998-03-31,0.078098,12.8045,Swedish Krona
Spot,,1997-12-31,0.0765978,13.0552,Swedish Krona
Average,1996-12-30,1997-12-30,0.079946,12.5085,Swedish Krona
Spot,,1997-03-31,0.080838,12.3703,Swedish Krona
Average,1996-03-31,1997-03-31,0.09188,10.8837,Swedish Krona
Spot,,1996-12-31,0.0855812,11.6848,Swedish Krona
Average,1995-12-31,1996-12-31,0.09540837,10.4755,Swedish Krona
Spot,,1996-03-31,0.0980132,10.2027,Swedish Krona
Average,1995-03-31,1996-03-31,0.091377,10.9437,Swedish Krona
Spot,,1995-12-30,0.0971873,10.2894,Swedish Krona
Average,1994-12-30,1995-12-30,0.088777,11.2642,Swedish Krona
Spot,,1995-03-31,0.0833034,12.0043,Swedish Krona
Average,1994-03-31,1995-03-31,0.085153,11.7436,Swedish Krona
Spot,,1994-12-30,0.08598,11.6306,Swedish Krona
Average,1993-12-30,1994-12-30,0.084707,11.8054,Swedish Krona
Spot,,1994-03-30,0.085732,11.6642,Swedish Krona
Average,1993-03-30,1994-03-30,0.084109,11.8893,Swedish Krona
Spot,,1993-12-31,0.08109,12.332,Swedish Krona
Average,1992-12-31,1993-12-31,0.085608,11.6811,Swedish Krona
Spot,,1993-03-31,0.0858148,11.653,Swedish Krona
Average,1992-03-31,1993-03-31,0.0961261,10.403,Swedish Krona
Spot,,1992-12-31,0.0933881,10.708,Swedish Krona
Average,1991-12-31,1992-12-31,0.0977039,10.235,Swedish Krona
Spot,,1992-03-31,0.0963576,10.378,Swedish Krona
Average,1991-03-31,1992-03-31,0.0946790,10.562,Swedish Krona
Spot,,1991-12-31,0.0964320,10.370,Swedish Krona
Average,1990-12-31,1991-12-31,0.0937119,10.671,Swedish Krona
Spot,,1991-03-28,0.093284,10.720,Swedish Krona
Average,1990-03-31,1991-03-31,0.093041,10.748,Swedish Krona
Spot,,1990-12-31,0.092039,10.865,Swedish Krona
Average,1989-12-31,1990-12-31,0.094904,10.537,Swedish Krona
Spot,,1990-03-30,0.163332,6.1225,Swedish Krona
Average,1989-03-31,1990-03-31,0.097163,10.292,Swedish Krona
Spot,,1989-12-29,0.100150,9.9850,Swedish Krona
Average,1988-12-31,1989-12-31,0.094706,10.559,Swedish Krona
