Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Spot,,2014-03-31,0.679,1.4727
Average,2013-03-31,2014-03-31,0.6859,1.457903
Spot,,2013-12-31,0.6789,1.473
Average,2012-12-31,2013-12-31,0.6898,1.449658
Spot,,2013-03-31,0.6926,1.4439
Average,2012-03-31,2013-03-31,0.6731,1.48565
Spot,,2012-12-31,0.6721,1.4879
Average,2011-12-31,2012-12-31,0.6725,1.486984
Spot,,2012-03-31,0.6924,1.4442
Average,2011-03-31,2012-03-31,0.7106,1.407255
Spot,,2011-12-31,0.6881,1.4532
Average,2010-12-31,2011-12-31,0.7036,1.421359
Spot,,2011-03-31,0.6819,1.4665
Average,2010-03-31,2011-03-31,0.6342,1.5768
Spot,,2010-12-31,0.6853,1.4593
Average,2009-12-31,2010-12-31,0.6198,1.6133
Spot,,2010-03-31,0.62629,1.5967
Average,2009-03-31,2010-03-31,0.58959,1.6961
Spot,,2009-12-31,0.59905,1.6693
Average,2008-12-31,2009-12-31,0.58935,1.6968
Spot,,2009-03-31,0.61357,1.6298
Average,2008-03-31,2009-03-31,0.53098,1.8833
Spot,,2008-12-31,0.65347,1.5303
Average,2007-12-31,2008-12-31,0.50053,1.9979
Spot,,2008-03-31,0.508699,1.9658
Average,2007-03-31,2008-03-31,0.429896,2.3261
Spot,,2007-12-31,0.443734,2.2536
Average,2006-12-31,2007-12-31,0.416498,2.4010
Spot,,2007-03-30,0.41762372,2.3945
Average,2006-03-31,2007-03-31,0.42689434,2.3425
Spot,,2006-12-29,0.41856766,2.3891
Average,2005-12-31,2006-12-31,0.43338823,2.3074
Spot,,2006-03-31,0.44115,2.2668
Average,2005-03-31,2006-03-31,0.43944,2.2756
Spot,,2005-12-30,0.440898,2.2681
Average,2004-12-31,2005-12-31,0.440898,2.2681
Spot,,2005-03-31,0.443990,2.2523
Average,2004-03-31,2005-03-31,0.4425562,2.2596
Spot,,2004-12-31,0.4580432,2.1832
Average,2003-12-31,2004-12-31,0.4394252,2.2757
Spot,,2004-03-31,0.42949792,2.3283
Average,2003-03-31,2004-03-31,0.449115,2.2266
Spot,,2003-12-31,0.45167118,2.214
Average,2002-12-31,2003-12-31,0.455104,2.1973
Spot,,2003-03-31,0.4681209,2.1362
Average,2002-03-31,2003-03-31,0.438231,2.2819
Spot,,2002-12-31,0.4492362,2.226
Average,2001-12-31,2002-12-31,0.428522,2.3336
Spot,,2002-03-28,0.4175539689,2.3949
Average,2001-03-28,2002-03-28,0.4128137384,2.4224
Spot,,2001-12-31,0.4138387684,2.4164
Average,2000-12-31,2001-12-31,0.4116073266,2.4295
Spot,,2001-03-30,0.4075311761,2.4538
Average,2000-03-31,2001-03-31,0.3985333971,2.5092
Spot,,2000-12-29,0.4131036477,2.4207
Average,1999-12-29,2000-12-29,0.3910527139,2.5572
Spot,,2000-03-31,0.3770028275,2.6525
Average,1999-03-31,2000-03-31,0.3995844322,2.5026
Spot,,1999-12-31,0.3876119229,2.5799
Average,1998-12-30,1999-12-30,0.4114041223,2.4307
Spot,,1999-03-31,0.4185151,2.3894
Average,1998-03-31,1999-03-31,0.42088,2.376
Spot,,1998-12-31,0.437598,2.2852
Average,1997-12-31,1998-12-31,0.41648,2.4011
Spot,,1998-03-31,0.391711,2.5529
Average,1997-03-31,1998-03-31,0.417153,2.3972
Spot,,1997-12-31,0.4166840,2.3999
Average,1996-12-30,1997-12-30,0.421035,2.3751
Spot,,1997-03-31,0.422743,2.3655
Average,1996-03-31,1997-03-31,0.48506,2.0616
Spot,,1996-12-31,0.4351988,2.2978
Average,1995-12-31,1996-12-31,0.51759834,1.932
Spot,,1996-03-31,0.5502971,1.8172
Average,1995-03-31,1996-03-31,0.546777,1.8289
Spot,,1995-12-30,0.5597537,1.7865
Average,1994-12-30,1995-12-30,0.536337,1.8645
Spot,,1995-03-31,0.5452265,1.8341
Average,1994-03-31,1995-03-31,0.489668,2.0422
Spot,,1994-12-30,0.4884243,2.0474
Average,1993-12-30,1994-12-30,0.478149,2.0914
Spot,,1994-03-30,0.475127,2.1047
Average,1993-03-30,1994-03-30,0.453823,2.2035
Spot,,1993-12-31,0.455145,2.1971
Average,1992-12-31,1993-12-31,0.450593,2.2193
Spot,,1993-03-31,0.4444444,2.25
Average,1992-03-31,1993-03-31,0.4182525,2.3909
Spot,,1992-12-31,0.4509582,2.2175
Average,1991-12-31,1992-12-31,0.4034372,2.4787
Spot,,1992-03-31,0.3838771,2.6050
Average,1991-03-31,1992-03-31,0.3924184,2.5483
Spot,,1991-12-31,0.3944773,2.5350
Average,1990-12-31,1991-12-31,0.3956009,2.5278
Spot,,1991-03-28,0.395257,2.5300
Average,1990-03-31,1991-03-31,0.403779,2.4766
Spot,,1990-12-31,0.406504,2.4600
Average,1989-12-31,1990-12-31,0.405104,2.4685
Spot,,1990-03-30,0.406091,2.4625
Average,1989-03-31,1990-03-31,0.388772,2.5722
Spot,,1989-12-29,0.402010,2.4875
Average,1988-12-31,1989-12-31,0.371526,2.6916
