Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0053,188.354192
2013-12-31,0.0064,156.194264
2013-03-31,0.0095,105.433448
2012-12-31,0.01,100.277797
2012-03-31,0.0129,77.691921
2011-12-31,0.013,76.863907
2011-03-31,0.0138,72.2270
2010-12-31,0.014,71.4882
2010-03-31,0.013665,73.1795
2009-12-31,0.013884,72.0249
2009-03-31,0.011962,83.5987
2008-12-31,0.010811,92.5003
2008-03-31,0.009662,103.50
2007-12-31,0.009642,103.71
2007-03-31,0.010075861,99.2471
2006-12-31,0.010356298,96.5596
2006-03-31,0.01074,93.0719
2005-12-31,0.01054495,94.8321
2005-03-31,0.010625,94.1199
2004-12-31,0.01085427,92.1296
2004-03-31,0.012314,81.2087
2003-12-31,0.01287998,77.6399
2003-03-31,0.013234,75.5653
2002-12-31,0.01338274,74.7231
2002-03-28,0.0136022221,73.5174
2001-12-31,0.0134171458,74.5315
2001-03-31,0.0124756102,80.1564
2000-12-29,0.0126732111,78.9066
2000-03-31,0.0138521614,72.1909
1999-12-30,0.0138634341,72.1322
1999-03-31,0.014269,70.0802
1998-12-31,0.014566,68.6522
1998-03-31,0.015063,66.3858
1997-12-30,0.0149316,66.9719
1997-03-31,0.015044,66.4698
1996-12-31,0.015322,65.2647
1996-03-31,0.015222,65.6945
1995-12-30,0.015675,63.7943
1995-03-31,0.026338,37.9682
1994-12-30,0.03174,31.5057
1994-03-30,0.031395,31.8523
1993-12-31,0.031326,31.9225
1993-03-31,0.0284115,35.197
1992-12-31,0.0272613,36.682
1992-03-31,0.0273890,36.511
1991-12-31,0.0267522,37.380
1991-03-31,0.026043,38.398
1990-12-31,0.027034,36.991
