Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0211,47.330036
Average,2012-12-31,2013-12-31,0.0216,46.346854
Average,2012-03-31,2013-03-31,0.0214,46.662044
Average,2011-12-31,2012-12-31,0.0213,46.858536
Average,2011-03-31,2012-03-31,0.0212,47.163724
Average,2010-12-31,2011-12-31,0.0212,47.081596
Average,2010-03-31,2011-03-31,0.0208,47.9890
Average,2009-12-31,2010-12-31,0.0205,48.7931
Average,2009-03-31,2010-03-31,0.01931,51.7867
Average,2008-12-31,2009-12-31,0.01938,51.6003
Average,2008-03-31,2009-03-31,0.01823,54.854
Average,2007-12-31,2008-12-31,0.01717,58.2406
Average,2007-03-31,2008-03-31,0.015324,65.258
Average,2006-12-31,2007-12-31,0.015213,65.7326
Average,2006-03-31,2007-03-31,0.01615598,61.8966
Average,2005-12-31,2006-12-31,0.01667659,59.9643
Average,2005-03-31,2006-03-31,0.01733,57.7011
Average,2004-12-31,2005-12-31,0.017117045,58.4213
Average,2004-03-31,2005-03-31,0.0164877,60.6512
Average,2003-12-31,2004-12-31,0.01637,61.0875
Average,2003-03-31,2004-03-31,0.0173,57.7063
Average,2002-12-31,2003-12-31,0.0178,56.2877
Average,2002-03-31,2003-03-31,0.018734,53.3776
Average,2001-12-31,2002-12-31,0.01924,51.9757
Average,2001-03-28,2002-03-28,0.0202708592,49.3319
Average,2000-12-31,2001-12-31,0.0205349772,48.6974
Average,2000-03-31,2001-03-31,0.0213474511,46.844
Average,1999-12-29,2000-12-29,0.0176973296,56.5057
Average,1999-03-31,2000-03-31,0.0165554691,60.403
Average,1998-12-30,1999-12-30,0.0191588866,52.1951
Average,1998-03-31,1999-03-31,0.018117,55.1962
Average,1997-12-31,1998-12-31,0.01803,55.4635
Average,1997-03-31,1998-03-31,0.020213,49.4721
Average,1996-12-30,1997-12-30,0.021233,47.0966
Average,1996-03-31,1997-03-31,0.022937,43.5986
Average,1995-12-31,1996-12-31,0.023317,42.887
Average,1995-03-31,1996-03-31,0.023849,41.9304
Average,1994-12-30,1995-12-30,0.02391,41.8228
Average,1994-03-31,1995-03-31,0.024368,41.0368
Average,1993-12-30,1994-12-30,0.024689,40.5043
Average,1993-03-30,1994-03-30,0.018473,54.1333
Average,1992-12-31,1993-12-31,0.025542,39.1515
Average,1992-03-31,1993-03-31,0.023371,42.788
Average,1991-12-31,1992-12-31,0.022521,44.403
Average,1991-03-31,1992-03-31,0.0219197,45.621
Average,1990-12-31,1991-12-31,0.0211291,47.328
Average,1990-03-31,1991-03-31,0.019780,50.557
Average,1989-12-31,1990-12-31,0.020812,48.050
Average,1989-03-31,1990-03-31,0.023534,42.491
Average,1988-12-31,1989-12-31,0.023106,43.279
