Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0004,2566.585576
2013-12-31,0.0004,2528.795094
2013-03-31,0.0004,2515.534038
2012-12-31,0.0004,2509.602040
2012-03-31,0.0004,2585.166315
2011-12-31,0.0004,2535.730980
2011-03-31,0.0004,2290.20
2010-12-31,0.0005,2220.88
2010-03-31,0.00047214,2118.02
2009-12-31,0.00048281,2071.20
2009-03-31,0.00047353,2111.78
2008-12-31,0.00045169,2213.92
2008-03-31,0.0004103,2437.04
2007-12-31,0.000403,2481.21
2007-03-31,0.00041466,2411.6028
2006-12-31,0.00043257,2311.7583
2006-03-31,0.0004873,2052.1933
2005-12-31,0.00048753,2051.1569
2005-03-31,0.0004978,2008.9023
2004-12-31,0.0005012,1995.077
2004-03-31,0.00056,1797.86
2003-12-31,0.00059,1699.27
2003-03-31,0.00066,1522.58
2002-12-31,0.00069,1452.96
2002-03-28,0.0007670635,1303.673
2001-12-31,0.0007913208,1263.71
2001-03-31,0.0008403086,1190.039
2000-12-29,0.0008252262,1211.789
2000-03-31,0.0008058674,1240.899
1999-12-30,0.0008330411,1200.421
1999-03-31,0.000909574,1099.416
1998-12-31,0.00092449,1081.67
1998-03-31,0.000983,1017.706
1997-12-30,0.001,1000.059
1997-03-31,0.001084,922.4204
1996-12-31,0.001131,884.3338
1996-03-31,0.001122,891.0485
1995-12-30,0.001113,898.1593
1995-03-31,0.001226,815.5056
1994-12-30,0.001274,785.0173
1994-03-30,0.001557,642.2495
1993-12-31,0.001711,584.5614
1993-03-31,0.0018698,534.81
1992-12-31,0.0019358,516.58
1992-03-31,0.0025250,396.03
1991-12-31,0.0026043,383.98
1991-03-31,0.002735,365.65
1990-12-31,0.002889,346.17
1990-03-31,0.003609,277.07
1989-12-31,0.004295,232.82
