Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.5887,1.698716,Pa Anga
Average,2012-12-31,2013-12-31,0.6121,1.633679,Pa Anga
Average,2012-03-31,2013-03-31,0.6429,1.555564,Pa Anga
Average,2011-12-31,2012-12-31,0.6534,1.530380,Pa Anga
Average,2011-03-31,2012-03-31,0.6498,1.538865,Pa Anga
Average,2010-12-31,2011-12-31,0.6438,1.553232,Pa Anga
Average,2010-03-31,2011-03-31,0.6051,1.6526,Pa Anga
Average,2009-12-31,2010-12-31,0.5927,1.6872,Pa Anga
Average,2009-03-31,2010-03-31,0.32184,3.1071,Pa Anga
Average,2008-12-31,2009-12-31,0.3172,3.1526,Pa Anga
Average,2008-03-31,2009-03-31,0.29422,3.3988,Pa Anga
Average,2007-12-31,2008-12-31,0.28401,3.521,Pa Anga
Average,2007-03-31,2008-03-31,0.260491,3.8389,Pa Anga
Average,2006-12-31,2007-12-31,0.255885,3.908,Pa Anga
Average,2006-03-31,2007-03-31,0.261615739,3.8224,Pa Anga
Average,2005-12-31,2006-12-31,0.267001308,3.7453,Pa Anga
Average,2005-03-31,2006-03-31,0.30689,3.2585,Pa Anga
Average,2004-12-31,2005-12-31,0.30740855,3.253,Pa Anga
Average,2004-03-31,2005-03-31,0.277762,3.6002,Pa Anga
Average,2003-12-31,2004-12-31,0.27730789,3.6061,Pa Anga
Average,2003-03-31,2004-03-31,0.352113,2.84,Pa Anga
Average,2002-12-31,2003-12-31,0.38320049,2.6096,Pa Anga
Average,2002-03-31,2003-03-31,0.363689,2.7496,Pa Anga
Average,2001-12-31,2002-12-31,0.36183377,2.7637,Pa Anga
Average,2001-03-28,2002-03-28,0.3582046782,2.7917,Pa Anga
Average,2000-12-31,2001-12-31,0.3560873126,2.8083,Pa Anga
Average,2000-03-31,2001-03-31,0.3728143757,2.6823,Pa Anga
Average,1999-12-29,2000-12-29,0.3804885473,2.6282,Pa Anga
Average,1999-03-31,2000-03-31,0.3988354006,2.5073,Pa Anga
Average,1998-12-30,1999-12-30,0.3986128274,2.5087,Pa Anga
Average,1998-03-31,1999-03-31,0.015546,64.3246,Pa Anga
Average,1997-12-31,1998-12-31,0.014659,68.2186,Pa Anga
Average,1997-03-31,1998-03-31,0.435882,2.2942,Pa Anga
Average,1996-12-30,1997-12-30,0.4545455,2.2,Pa Anga
Average,1996-03-31,1997-03-31,0.497438,2.0103,Pa Anga
Average,1995-12-31,1996-12-31,0.501479,1.9941,Pa Anga
Average,1995-03-31,1996-03-31,0.473395,2.1124,Pa Anga
Average,1994-12-30,1995-12-30,0.469704,2.129,Pa Anga
Average,1994-03-31,1995-03-31,0.478904,2.0881,Pa Anga
Average,1993-12-30,1994-12-30,0.478149,2.0914,Pa Anga
Average,1993-03-30,1994-03-30,0.453576,2.2047,Pa Anga
Average,1992-12-31,1993-12-31,0.450694,2.2188,Pa Anga
Average,1992-03-31,1993-03-31,0.4232266,2.3628,Pa Anga
Average,1991-12-31,1992-12-31,0.4137189,2.4171,Pa Anga
Average,1991-03-31,1992-03-31,0.4441878,2.2513,Pa Anga
Average,1990-12-31,1991-12-31,0.4398891,2.2733,Pa Anga
Average,1990-03-31,1991-03-31,0.426858,2.3427,Pa Anga
Average,1989-12-31,1990-12-31,0.441657,2.2642,Pa Anga
