Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0299,33.429732
2013-12-31,0.0314,31.813079
2013-03-31,0.0314,31.873157
2012-12-31,0.0311,32.104220
2012-03-31,0.0326,30.669321
2011-12-31,0.0324,30.822629
2011-03-31,0.0322,31.0534
2010-12-31,0.0324,30.8988
2010-03-31,0.029142,34.3153
2009-12-31,0.028383,35.2328
2009-03-31,0.027363,36.5457
2008-12-31,0.026034,38.4107
2008-03-31,0.022043,45.3662
2007-12-31,0.021319,46.9076
2007-03-31,0.02194575,45.5669
2006-12-31,0.022581825,44.2834
2006-03-31,0.0231722,43.1552
2005-12-31,0.0224916,44.461
2005-03-31,0.0196361,50.9267
2004-12-31,0.0190224,52.5696
2004-03-31,0.0085536,116.9099
2003-12-31,0.000872085,114.6677
2003-03-31,0.02605,38.3931
2002-12-31,0.03094,32.3184
2002-03-28,0.0504202528,19.8333
2001-12-31,0.0521031434,19.1927
2001-03-31,0.0548362863,18.2361
2000-12-29,0.0545512072,18.3314
2000-03-31,0.0538755367,18.5613
1999-12-30,0.0545223569,18.3411
1999-03-31,0.056592,17.6704
1998-12-31,0.057622,17.3546
1998-03-31,0.06242,16.0205
1997-12-30,0.06461,15.4775
1997-03-31,0.075438,13.256
1996-12-31,0.080546,12.4152
1996-03-31,0.095907,10.4268
1995-12-30,0.100471,9.9531
1995-03-31,0.119629,8.3592
1994-12-30,0.129141,7.7435
1994-03-30,0.1598567,6.2556
1993-03-08 to 1993-12-31,0.1665041,6.005855
1993-01-01 to 1993-03-07,0.0001909,5236.304
1993-03-02 to 1993-03-31,0.1893043,5.2825
1992-04-01 to 1993-03-01,0.0001836,5445.8
1992-12-31,0.000189,5288.9
1992-03-31,0.0002580,3875.7
1991-12-31,0.0002839,3522
1991-03-31,0.000365,2740
1990-12-31,0.000483,2072
1990-03-31,0.000812,1232
1989-12-31,0.001028,973.16
