Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.2816,3.551688,Cruzeiro/Real
Average,2012-12-31,2013-12-31,0.2975,3.361409,Cruzeiro/Real
Average,2012-03-31,2013-03-31,0.3147,3.177780,Cruzeiro/Real
Average,2011-12-31,2012-12-31,0.3235,3.091557,Cruzeiro/Real
Average,2011-03-31,2012-03-31,0.3716,2.690953,Cruzeiro/Real
Average,2010-12-31,2011-12-31,0.3735,2.67755,Cruzeiro/Real
Average,2010-03-31,2011-03-31,0.3724,2.6850,Cruzeiro/Real
Average,2009-12-31,2010-12-31,0.3674,2.7216,Cruzeiro/Real
Average,2009-03-31,2010-03-31,0.33558,2.9799,Cruzeiro/Real
Average,2008-12-31,2009-12-31,0.32145,3.1109,Cruzeiro/Real
Average,2008-03-31,2009-03-31,0.30024,3.3307,Cruzeiro/Real
Average,2007-12-31,2008-12-31,0.29781,3.3579,Cruzeiro/Real
Average,2007-03-31,2008-03-31,0.268716,3.7214,Cruzeiro/Real
Average,2006-12-31,2007-12-31,0.256733,3.8951,Cruzeiro/Real
Average,2006-03-31,2007-03-31,0.24516414,4.0789,Cruzeiro/Real
Average,2005-12-31,2006-12-31,0.24982512,4.0028,Cruzeiro/Real
Average,2005-03-31,2006-03-31,0.24316,4.1126,Cruzeiro/Real
Average,2004-12-31,2005-12-31,0.226588,4.4133,Cruzeiro/Real
Average,2004-03-31,2005-03-31,0.18947,5.2779,Cruzeiro/Real
Average,2003-12-31,2004-12-31,0.18688,5.3511,Cruzeiro/Real
Average,2003-03-31,2004-03-31,0.2,4.9999,Cruzeiro/Real
Average,2002-12-31,2003-12-31,0.19754,5.0623,Cruzeiro/Real
Average,2002-03-31,2003-03-31,0.20073,4.9817,Cruzeiro/Real
Average,2001-12-31,2002-12-31,0.2255,4.4345,Cruzeiro/Real
Average,2001-03-28,2002-03-28,0.2847461488,3.5119,Cruzeiro/Real
Average,2000-12-31,2001-12-31,0.2941955223,3.3991,Cruzeiro/Real
Average,2000-03-31,2001-03-31,0.3570918440,2.8004,Cruzeiro/Real
Average,1999-12-29,2000-12-29,0.3606983119,2.7724,Cruzeiro/Real
Average,1999-03-31,2000-03-31,0.3421493824,2.9227,Cruzeiro/Real
Average,1998-12-30,1999-12-30,0.3390520106,2.9494,Cruzeiro/Real
Average,1998-03-31,1999-03-31,0.45506,2.1975,Cruzeiro/Real
Average,1997-12-31,1998-12-31,0.51943,1.9252,Cruzeiro/Real
Average,1997-03-31,1998-03-31,0.558847,1.7894,Cruzeiro/Real
Average,1996-12-30,1997-12-30,0.570613,1.7525,Cruzeiro/Real
Average,1996-03-31,1997-03-31,0.616067,1.6232,Cruzeiro/Real
Average,1995-12-31,1996-12-31,0.63674,1.5705,Cruzeiro/Real
Average,1995-03-31,1996-03-31,0.674263,1.4831,Cruzeiro/Real
Average,1994-12-30,1995-12-30,0.690608,1.448,Cruzeiro/Real
Average,1994-07-02,1995-03-31,0.7331539,1.36397,Cruzeiro/Real
Average,1994-04-01,1994-07-01,0.0003426,2918.79,Cruzeiro/Real
Average,1994-07-02,1994-12-30,0.7318876,1.36633,Cruzeiro/Real
Average,1994-01-01,1994-07-01,0.000491,2036.27,Cruzeiro/Real
Average,1993-07-27,1994-03-30,0.0021379,467.73735,Cruzeiro/Real
Average,1993-04-01,1993-07-26,0.0000149,67017.97,Cruzeiro/Real
Average,1993-07-27,1993-12-31,0.0042611,234.6763,Cruzeiro/Real
Average,1993-01-01,1993-07-26,0.0000201,49680.12,Cruzeiro/Real
Average,1992-03-31,1993-03-31,0.0000736,13586,Cruzeiro/Real
Average,1991-12-31,1992-12-31,0.0001317,7592.9,Cruzeiro/Real
Average,1991-10-01,1992-03-31,0.0005091,1964.2,Cruzeiro/Real
Average,1991-04-01,1991-09-30,0.0018305,546.29,Cruzeiro/Real
Average,1991-10-01,1991-12-31,0.0007473,1338.1,Cruzeiro/Real
Average,1991-01-01,1991-09-30,0.0019999,500.02,Cruzeiro/Real
Average,1990-03-31,1991-03-31,0.003577,279.58,Cruzeiro/Real
Average,1989-12-31,1990-12-31,0.008089,123.62,Cruzeiro/Real
Average,1989-03-31,1990-03-31,0.045846,21.812,Cruzeiro/Real
Average,1988-12-31,1989-12-31,0.250658,3.9895,Cruzeiro/Real
