Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0012,800.230134,Colon
Average,2012-12-31,2013-12-31,0.0013,781.661754,Colon
Average,2012-03-31,2013-03-31,0.0013,791.741903,Colon
Average,2011-12-31,2012-12-31,0.0013,795.485020408163,Colon
Average,2011-03-31,2012-03-31,0.0012,813.537868,Colon
Average,2010-12-31,2011-12-31,0.0012,810.964078,Colon
Average,2010-03-31,2011-03-31,0.0013,797.682,Colon
Average,2009-12-31,2010-12-31,0.0012,812.658,Colon
Average,2009-03-31,2010-03-31,0.0011031,906.539,Colon
Average,2008-12-31,2009-12-31,0.0011126,898.802,Colon
Average,2008-03-31,2009-03-31,0.0010768,928.677,Colon
Average,2007-12-31,2008-12-31,0.0010274,973.351,Colon
Average,2007-03-31,2008-03-31,0.0009752,1025.41,Colon
Average,2006-12-31,2007-12-31,0.0009677,1033.37,Colon
Average,2006-03-31,2007-03-31,0.001018967,981.3863,Colon
Average,2005-12-31,2006-12-31,0.001056121,946.8613,Colon
Average,2005-03-31,2006-03-31,0.00115,869.708,Colon
Average,2004-12-31,2005-12-31,0.00114992,869.6228,Colon
Average,2004-03-31,2005-03-31,0.001204,830.7517,Colon
Average,2003-12-31,2004-12-31,0.00124181,805.2731,Colon
Average,2003-03-31,2004-03-31,0.00143,699.2543,Colon
Average,2002-12-31,2003-12-31,0.00151841,658.5835,Colon
Average,2002-03-31,2003-03-31,0.001739,574.9884,Colon
Average,2001-12-31,2002-12-31,0.00183509,544.9313,Colon
Average,2001-03-28,2002-03-28,0.0020782473,481.1747,Colon
Average,2000-12-31,2001-12-31,0.0021090795,474.1405,Colon
Average,2000-03-31,2001-03-31,0.0021634977,462.2145,Colon
Average,1999-12-29,2000-12-29,0.0021437748,466.4669,Colon
Average,1999-03-31,2000-03-31,0.0021247184,470.6506,Colon
Average,1998-12-30,1999-12-30,0.0021676443,461.3303,Colon
Average,1998-03-31,1999-03-31,0.0022899,436.6955,Colon
Average,1997-12-31,1998-12-31,0.0023373,427.8467,Colon
Average,1997-03-31,1998-03-31,0.002567,389.5695,Colon
Average,1996-12-30,1997-12-30,0.0026354,379.4464,Colon
Average,1996-03-31,1997-03-31,0.002967,337.0134,Colon
Average,1995-12-31,1996-12-31,0.003115,321.0629,Colon
Average,1995-03-31,1996-03-31,0.003436,290.9993,Colon
Average,1994-12-30,1995-12-30,0.003555,281.7193,Colon
Average,1994-03-31,1995-03-31,0.004041,247.4913,Colon
Average,1993-12-30,1994-12-30,0.00419,238.6526,Colon
Average,1992-03-31,1993-03-31,0.0043374,230.55,Colon
Average,1991-12-31,1992-12-31,0.0041354,241.81,Colon
Average,1991-03-31,1992-03-31,0.0044294,225.76,Colon
Average,1990-12-31,1991-12-31,0.0046412,215.46,Colon
Average,1990-03-31,1991-03-31,0.005593,178.79,Colon
Average,1989-12-31,1990-12-31,0.006177,161.88,Colon
