Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2012-12-31,2013-12-31,0.8486,1.178398,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2012-03-31,2013-03-31,0.8141,1.228351,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2011-12-31,2012-12-31,0.8107,1.233473,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2007-03-31,2008-03-31,1.184865,0.84398,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2006-12-31,2007-12-31,1.177302,0.8494,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2006-03-31,2007-03-31,1.175364363,0.8508,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2005-12-31,2006-12-31,1.185677022,0.8434,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2005-03-31,2006-03-31,1.18807,0.8417,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2004-12-31,2005-12-31,1.18511496,0.8438,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2004-03-31,2005-03-31,1.175226,0.8509,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2003-12-31,2004-12-31,1.16658889,0.8572,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2003-03-31,2004-03-31,1.181056,0.8467,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2002-12-31,2003-12-31,1.18357202,0.8449,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2002-03-31,2003-03-31,1.117943,0.8945,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2001-12-31,2002-12-31,1.09421162,0.9139,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2001-03-28,2002-03-28,1.0698619878,0.9347,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2000-12-31,2001-12-31,1.0759629869,0.9294,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2000-03-31,2001-03-31,1.0670081093,0.9372,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1999-12-29,2000-12-29,1.0584250635,0.9448,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1999-03-31,2000-03-31,1.1009578333,0.9083,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1998-12-30,1999-12-30,1.1308379509,0.8843,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1998-03-31,1999-03-31,1.17357,0.8521,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1997-12-31,1998-12-31,1.163332,0.8596,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1997-03-31,1998-03-31,1.168361,0.8559,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1996-12-30,1997-12-30,1.1899096,0.8404,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1996-03-31,1997-03-31,1.333511,0.7499,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1995-12-31,1996-12-31,1.37874,0.7253,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1995-03-31,1996-03-31,1.409642,0.7094,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1994-12-30,1995-12-30,1.395673,0.7165,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1994-03-31,1995-03-31,1.337614,0.7476,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1993-12-30,1994-12-30,1.323627,0.7555,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1993-03-30,1994-03-30,1.323977,0.7553,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1992-12-31,1993-12-31,1.347346,0.7422,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1992-03-31,1993-03-31,1.2965123,0.7713,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1991-12-31,1992-12-31,1.2599218,0.7937,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1991-03-31,1992-03-31,1.2397718,0.8066,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1990-12-31,1991-12-31,1.2307692,0.8125,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1990-03-31,1991-03-31,1.212415,0.8248,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1989-12-31,1990-12-31,1.231376,0.8121,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2004-03-31,2005-03-31,1.175226,0.8509,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2003-12-31,2004-12-31,1.16658889,0.8572,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2003-03-31,2004-03-31,1.181056,0.8467,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2002-12-31,2003-12-31,1.18357202,0.8449,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2002-03-31,2003-03-31,1.117943,0.8945,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2001-12-31,2002-12-31,1.09421162,0.9139,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2001-03-28,2002-03-28,1.0698619878,0.9347,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2000-12-31,2001-12-31,1.0759629869,0.9294,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,2000-03-31,2001-03-31,1.0670081093,0.9372,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
Average,1999-12-29,2000-12-29,1.0584250635,0.9448,Cyprus Pound (To 31.12.07) (Euro From 01.01.08)
