Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8267,1.2096,Euro
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8319,1.202,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8434,1.1857,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.811,1.233,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2011-03-31,2012-03-31,0.8335,1.1998,Euro
Average,2011-03-31,2012-03-31,0.8634,1.158234,Euro
Average,2010-12-31,2011-12-31,0.8353,1.1972,Euro
Average,2010-12-31,2011-12-31,0.8683,1.151701,Euro
Average,2010-03-31,2011-03-31,0.8853,1.1296,Euro
Average,2010-03-31,2011-03-31,0.849,1.1779,Euro
Average,2009-12-31,2010-12-31,0.8568,1.1671,Euro
Average,2009-12-31,2010-12-31,0.8573,1.1664,Euro
Spot,,2010-03-31,0.89198,1.1211,Euro
Average,2009-03-31,2010-03-31,0.88511,1.1298,Euro
Spot,,2009-12-31,0.88849,1.1255,Euro
Average,2008-12-31,2009-12-31,0.89008,1.1235,Euro
Spot,,2009-03-31,0.92627,1.0796,Euro
Average,2008-03-31,2009-03-31,0.83043,1.2042,Euro
Spot,,2008-12-31,0.96674,1.0344,Euro
Average,2007-12-31,2008-12-31,0.79453,1.2586,Euro
Spot,,2008-03-31,0.797257,1.2543,Euro
Average,2007-03-31,2008-03-31,0.70532,1.4178,Euro
Spot,,2007-12-31,0.734484,1.3615,Euro
Average,2006-12-31,2007-12-31,0.684755,1.4604,Euro
Spot,,2007-03-30,0.67865626,1.4735,Euro
Spot,,2006-12-29,0.67376364,1.4842,Euro
Average,2006-03-31,2007-03-31,0.6779661,1.475,Euro
Average,2005-12-31,2006-12-31,0.68184917,1.4666,Euro
Spot,,2006-03-31,0.697691,1.4333,Euro
Spot,,2005-12-30,0.687096,1.4554,Euro
Average,2005-03-31,2006-03-31,0.681956,1.4664,Euro
Average,2004-12-31,2005-12-31,0.68371393,1.4626,Euro
Average,2004-03-31,2005-03-31,0.68166326,1.467,Euro
Average,2003-12-31,2004-12-31,0.67842605,1.474,Euro
Spot,,2005-03-31,0.687757,1.454,Euro
Spot,,2004-12-31,0.7079646,1.4125,Euro
Average,2003-03-31,2004-03-31,0.694444,1.4400,Euro
Average,2002-12-31,2003-12-31,0.691706,1.4457,Euro
Spot,,2004-03-31,0.668672685,1.4955,Euro
Spot,,2003-12-31,0.704622322,1.4192,Euro
Average,2002-03-31,2003-03-31,0.642137,1.5573,Euro
Average,2001-12-31,2002-12-31,0.628694,1.5906,Euro
Spot,,2003-03-31,0.6903216,1.4486,Euro
Spot,,2002-12-31,0.6518055,1.5342,Euro
Average,2001-03-28,2002-03-28,0.6172077521,1.6202,Euro
Average,2000-12-31,2001-12-31,0.6216972334,1.6085,Euro
Spot,,2002-03-28,0.6126324818,1.6323,Euro
Spot,,2001-12-31,0.6117704637,1.6346,Euro
Average,2000-03-31,2001-03-31,0.613346,1.6304,Euro
Average,1999-12-29,2000-12-29,0.608754,1.6427,Euro
Spot,,2001-03-30,0.6218132073,1.6082,Euro
Spot,,2000-12-29,0.6284960091,1.5911,Euro
Average,1999-03-31,2000-03-31,0.6397952655,1.563,Euro
Average,1998-12-30,1999-12-30,0.6575918985,1.5207,Euro
Spot,,2000-03-31,0.5998080614,1.6672,Euro
Spot,,1999-12-31,0.6218905473,1.608,Euro
Average,1998-03-31,1999-03-31,0.68273,1.4647,Euro
Average,1997-12-31,1998-12-31,0.67645 (ECU),1.4783 (ECU),Euro
Spot,,1999-03-31,0.66876,1.4953,Euro
Spot,,1998-12-31,0.70577 (ECU),1.4169 (ECU),Euro
