Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0001,12452.840384,New Kip
Average,2012-12-31,2013-12-31,0.0001,12237.392452,New Kip
Average,2012-03-31,2013-03-31,0.0001,12565.259615,New Kip
Average,2011-12-31,2012-12-31,0.0001,12601.877551,New Kip
Average,2011-03-31,2012-03-31,0.0001,12837.960526,New Kip
Average,2010-12-31,2011-12-31,0.0001,12823.652941,New Kip
Average,2010-03-31,2011-03-31,0.0001,12629.80,New Kip
Average,2009-12-31,2010-12-31,0.0001,12730.19,New Kip
Average,2009-03-31,2010-03-31,0.000074059,13502.7,New Kip
Average,2008-12-31,2009-12-31,0.000075212,13295.8,New Kip
Average,2008-03-31,2009-03-31,0.000067985,14709.12,New Kip
Average,2007-12-31,2008-12-31,0.000061957,16140.15,New Kip
Average,2007-03-31,2008-03-31,0.00005275,18955.83,New Kip
Average,2006-12-31,2007-12-31,0.00005202,19225.02,New Kip
Average,2006-03-31,2007-03-31,0.0000531779,18804.8133,New Kip
Average,2005-12-31,2006-12-31,0.0000539658,18530.2392,New Kip
Average,2005-03-31,2006-03-31,0.0000542,18440.6,New Kip
Average,2004-12-31,2005-12-31,0.0000566,17674.3833,New Kip
Average,2004-03-31,2005-03-31,0.000068974,14498.05,New Kip
Average,2003-12-31,2004-12-31,0.000069456,14397.4083,New Kip
Average,2003-03-31,2004-03-31,0.000076,13154.55,New Kip
Average,2002-12-31,2003-12-31,0.0000794,12582.15,New Kip
Average,2002-03-31,2003-03-31,8.48214,11789.48,New Kip
Average,2001-12-31,2002-12-31,8.72111,11466.425,New Kip
Average,2001-03-28,2002-03-28,0.0000913972,10941.25,New Kip
Average,2000-12-31,2001-12-31,0.0000909946,10989.6667,New Kip
Average,2000-03-31,2001-03-31,0.0000891506,11216.97,New Kip
Average,1999-12-29,2000-12-29,0.0000866103,11545.9667,New Kip
Average,1999-03-31,2000-03-31,0.0000914539,10934.47,New Kip
Average,1998-12-30,1999-12-30,0.0001045893,9561.205,New Kip
Average,1998-03-31,1999-03-31,0.00018336,5453.88,New Kip
Average,1997-12-31,1998-12-31,0.00022336,4477.095,New Kip
Average,1997-03-31,1998-03-31,0.000541,1849.443,New Kip
Average,1996-12-30,1997-12-30,0.0006185,1616.78,New Kip
Average,1996-03-31,1997-03-31,0.000687,1456.261,New Kip
Average,1995-12-31,1996-12-31,0.000698,1431.731,New Kip
Average,1995-03-31,1996-03-31,0.000759,1317.449,New Kip
Average,1994-12-30,1995-12-30,0.000798,1252.418,New Kip
Average,1994-03-31,1995-03-31,0.000894,1119.153,New Kip
Average,1993-12-30,1994-12-30,0.000909,1099.748,New Kip
Average,1993-03-30,1994-03-30,0.000923,1083.36,New Kip
Average,1992-12-31,1993-12-31,0.000925,1080.855,New Kip
Average,1992-03-31,1993-03-31,0.0008223,1216.1,New Kip
Average,1991-12-31,1992-12-31,0.0007883,1268.5,New Kip
Average,1991-03-31,1992-03-31,0.0008187,1221.4,New Kip
Average,1990-12-31,1991-12-31,0.0008076,1238.2,New Kip
Average,1990-03-31,1991-03-31,0.000769,1301,New Kip
Average,1989-12-31,1990-12-31,0.000792,1262,New Kip
