Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0065,152.856480,Nepalese Rupee
Average,2012-12-31,2013-12-31,0.0069,145.634113,Nepalese Rupee
Average,2012-03-31,2013-03-31,0.0073,137.469769,Nepalese Rupee
Average,2011-12-31,2012-12-31,0.0074,135.203061,Nepalese Rupee
Average,2011-03-31,2012-03-31,0.0083,120.210473,Nepalese Rupee
Average,2010-12-31,2011-12-31,0.0084,119.028039,Nepalese Rupee
Average,2010-03-31,2011-03-31,0.0088,113.131,Nepalese Rupee
Average,2009-12-31,2010-12-31,0.0089,112.992,Nepalese Rupee
Average,2009-03-31,2010-03-31,0.0082853,120.696,Nepalese Rupee
Average,2008-12-31,2009-12-31,0.0082444,121.294,Nepalese Rupee
Average,2008-03-31,2009-03-31,0.0079527,125.743,Nepalese Rupee
Average,2007-12-31,2008-12-31,0.00778,128.535,Nepalese Rupee
Average,2007-03-31,2008-03-31,0.007744,129.13,Nepalese Rupee
Average,2006-12-31,2007-12-31,0.007575,132.02,Nepalese Rupee
Average,2006-03-31,2007-03-31,0.007282329,137.3187,Nepalese Rupee
Average,2005-12-31,2006-12-31,0.007470391,133.8618,Nepalese Rupee
Average,2005-03-31,2006-03-31,0.00794,125.954,Nepalese Rupee
Average,2004-12-31,2005-12-31,0.00781566,127.9483,Nepalese Rupee
Average,2004-03-31,2005-03-31,0.007539,132.6487,Nepalese Rupee
Average,2003-12-31,2004-12-31,0.00754514,132.5356,Nepalese Rupee
Average,2003-03-31,2004-03-31,0.007888,126.7737,Nepalese Rupee
Average,2002-12-31,2003-12-31,0.00805216,124.1903,Nepalese Rupee
Average,2002-03-31,2003-03-31,0.00839,119.1846,Nepalese Rupee
Average,2001-12-31,2002-12-31,0.00859334,116.3692,Nepalese Rupee
Average,2001-03-28,2002-03-28,0.0091903824,108.8094,Nepalese Rupee
Average,2000-12-31,2001-12-31,0.0092351964,108.2814,Nepalese Rupee
Average,2000-03-31,2001-03-31,0.0093528046,106.9198,Nepalese Rupee
Average,1999-12-29,2000-12-29,0.0093015209,107.5093,Nepalese Rupee
Average,1999-03-31,2000-03-31,0.0090736033,110.2098,Nepalese Rupee
Average,1998-12-30,1999-12-30,0.0091120075,109.7453,Nepalese Rupee
Average,1998-03-31,1999-03-31,0.0098525,101.4974,Nepalese Rupee
Average,1997-12-31,1998-12-31,0.010036,99.6421,Nepalese Rupee
Average,1997-03-31,1998-03-31,0.010562,94.678,Nepalese Rupee
Average,1996-12-30,1997-12-30,0.010725,93.24,Nepalese Rupee
Average,1996-03-31,1997-03-31,0.011148,89.7057,Nepalese Rupee
Average,1995-12-31,1996-12-31,0.011392,87.7806,Nepalese Rupee
Average,1995-03-31,1996-03-31,0.012251,81.6242,Nepalese Rupee
Average,1994-12-30,1995-12-30,0.012526,79.8312,Nepalese Rupee
Average,1994-03-31,1995-03-31,0.013069,76.5162,Nepalese Rupee
Average,1993-12-30,1994-12-30,0.013502,74.0625,Nepalese Rupee
Average,1993-03-30,1994-03-30,0.014374,69.5699,Nepalese Rupee
Average,1992-12-31,1993-12-31,0.014356,69.6564,Nepalese Rupee
Average,1992-03-31,1993-03-31,0.0125917,79.417,Nepalese Rupee
Average,1991-12-31,1992-12-31,0.0122789,81.44,Nepalese Rupee
Average,1991-03-31,1992-03-31,0.0146322,68.342,Nepalese Rupee
Average,1990-12-31,1991-12-31,0.0156943,63.717,Nepalese Rupee
Average,1990-03-31,1991-03-31,0.018510,54.026,Nepalese Rupee
Average,1989-12-31,1990-12-31,0.019774,50.571,Nepalese Rupee
