Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0061,163.388115,Pakistani Rupee
Average,2012-12-31,2013-12-31,0.0063,158.273566,Pakistani Rupee
Average,2012-03-31,2013-03-31,0.0067,150.345730,Pakistani Rupee
Average,2011-12-31,2012-12-31,0.0068,147.702285,Pakistani Rupee
Average,2011-03-31,2012-03-31,0.0072,138.962552,Pakistani Rupee
Average,2010-12-31,2011-12-31,0.0072,138.291588,Pakistani Rupee
Average,2010-03-31,2011-03-31,0.0075,132.552,Pakistani Rupee
Average,2009-12-31,2010-12-31,0.0076,131.523,Pakistani Rupee
Average,2009-03-31,2010-03-31,0.0075711,132.082,Pakistani Rupee
Average,2008-12-31,2009-12-31,0.007817,127.926,Pakistani Rupee
Average,2008-03-31,2009-03-31,0.0078481,127.419,Pakistani Rupee
Average,2007-12-31,2008-12-31,0.0077109,129.686,Pakistani Rupee
Average,2007-03-31,2008-03-31,0.008143,122.81,Pakistani Rupee
Average,2006-12-31,2007-12-31,0.00823,121.51,Pakistani Rupee
Average,2006-03-31,2007-03-31,0.00872616,114.5979,Pakistani Rupee
Average,2005-12-31,2006-12-31,0.00899522,111.1701,Pakistani Rupee
Average,2005-03-31,2006-03-31,0.0093804,106.6047,Pakistani Rupee
Average,2004-12-31,2005-12-31,0.009224,108.417,Pakistani Rupee
Average,2004-03-31,2005-03-31,0.0091813,108.9175,Pakistani Rupee
Average,2003-12-31,2004-12-31,0.0093279,107.2052,Pakistani Rupee
Average,2003-03-31,2004-03-31,0.0102,97.6040,Pakistani Rupee
Average,2002-12-31,2003-12-31,0.0106,94.4568,Pakistani Rupee
Average,2002-03-31,2003-03-31,0.010942,91.3941,Pakistani Rupee
Average,2001-12-31,2002-12-31,0.011161,89.5939,Pakistani Rupee
Average,2001-03-28,2002-03-28,0.0112861594,88.6041,Pakistani Rupee
Average,2000-12-31,2001-12-31,0.0112452419,88.9265,Pakistani Rupee
Average,2000-03-31,2001-03-31,0.0121162775,82.5336,Pakistani Rupee
Average,1999-12-29,2000-12-29,0.0122557280,81.5945,Pakistani Rupee
Average,1999-03-31,2000-03-31,0.0120160246,83.2222,Pakistani Rupee
Average,1998-12-30,1999-12-30,0.0120901003,82.7123,Pakistani Rupee
Average,1998-03-31,1999-03-31,0.012482,80.1179,Pakistani Rupee
Average,1997-12-31,1998-12-31,0.012828,77.9532,Pakistani Rupee
Average,1997-03-31,1998-03-31,0.014457,69.1708,Pakistani Rupee
Average,1996-12-30,1997-12-30,0.014846,67.3595,Pakistani Rupee
Average,1996-03-31,1997-03-31,0.016786,59.5736,Pakistani Rupee
Average,1995-12-31,1996-12-31,0.017737,56.3789,Pakistani Rupee
Average,1995-10-28,1996-03-31,0.0189523,52.7639,Pakistani Rupee
Average,1995-04-01,1995-10-27,0.0202454,49.3938,Pakistani Rupee
Average,1995-10-28,1995-12-30,0.018823,53.1258,Pakistani Rupee
Average,1995-01-01,1995-10-27,0.020315,49.2233,Pakistani Rupee
Average,1994-03-31,1995-03-31,0.020974,47.677,Pakistani Rupee
Average,1993-12-30,1994-12-30,0.021379,46.7758,Pakistani Rupee
Average,1993-03-30,1994-03-30,0.023204,43.0957,Pakistani Rupee
Average,1992-12-31,1993-12-31,0.024144,41.4187,Pakistani Rupee
Average,1992-03-31,1993-03-31,0.0237315,42.138,Pakistani Rupee
Average,1991-12-31,1992-12-31,0.0231256,43.242,Pakistani Rupee
Average,1991-03-31,1992-03-31,0.0234664,42.614,Pakistani Rupee
Average,1990-12-31,1991-12-31,0.0242148,41.297,Pakistani Rupee
Average,1990-03-31,1991-03-31,0.024543,40.744,Pakistani Rupee
Average,1989-12-31,1990-12-31,0.026059,38.374,Pakistani Rupee
Average,1989-03-31,1990-03-31,0.029320,34.106,Pakistani Rupee
Average,1988-12-31,1989-12-31,0.030062,33.265,Pakistani Rupee
