Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0195,51.232159,Roulble (Market)
Average,2012-12-31,2013-12-31,0.0205,48.785824,Roulble (Market)
Average,2012-03-31,2013-03-31,0.0203,49.249373,Roulble (Market)
Average,2011-12-31,2012-12-31,0.0203,49.320938,Roulble (Market)
Average,2011-03-31,2012-03-31,0.0212,47.071768,Roulble (Market)
Average,2010-12-31,2011-12-31,0.0213,47.057882,Roulble (Market)
Average,2010-03-31,2011-03-31,0.0213,46.9792,Roulble (Market)
Average,2009-12-31,2010-12-31,0.0213,46.8976,Roulble (Market)
Average,2009-03-31,2010-03-31,0.020553,48.6544,Roulble (Market)
Average,2008-12-31,2009-12-31,0.020105,49.7386,Roulble (Market)
Average,2008-03-31,2009-03-31,0.021481,46.5529,Roulble (Market)
Average,2007-12-31,2008-12-31,0.021794,45.8837,Roulble (Market)
Average,2007-03-31,2008-03-31,0.019935,50.1627,Roulble (Market)
Average,2006-12-31,2007-12-31,0.019568,51.1028,Roulble (Market)
Average,2006-03-31,2007-03-31,0.019743025,50.6508,Roulble (Market)
Average,2005-12-31,2006-12-31,0.019993962,50.0151,Roulble (Market)
Average,2005-03-31,2006-03-31,0.01982,50.4621,Roulble (Market)
Average,2004-12-31,2005-12-31,0.0194676,51.3674,Roulble (Market)
Average,2004-03-31,2005-03-31,0.018963,52.7342,Roulble (Market)
Average,2003-12-31,2004-12-31,0.01900252,52.6246,Roulble (Market)
Average,2003-03-31,2004-03-31,0.019711,50.7326,Roulble (Market)
Average,2002-12-31,2003-12-31,0.01987925,50.3037,Roulble (Market)
Average,2002-03-31,2003-03-31,0.020394,49.0329,Roulble (Market)
Average,2001-12-31,2002-12-31,0.0210889,47.4183,Roulble (Market)
Average,2001-03-28,2002-03-28,0.0233847017,42.763,Roulble (Market)
Average,2000-12-31,2001-12-31,0.0237241170,42.1512,Roulble (Market)
Average,2000-03-31,2001-03-31,0.0240201577,41.6317,Roulble (Market)
Average,1999-12-29,2000-12-29,0.0233970669,42.7404,Roulble (Market)
Average,1999-03-31,2000-03-31,0.0237094361,42.1773,Roulble (Market)
Average,1998-12-30,1999-12-30,0.0246612774,40.5494,Roulble (Market)
Average,1998-03-31,1999-03-31,0.040057,24.9644,Roulble (Market)
Average,1997-12-31,1998-12-31,0.056786,17.6101,Roulble (Market)
