Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.057,17.535,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2013-03-31,2014-03-31,0.0626,15.977884,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2013-12-31,0.0576,17.3472,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2012-12-31,2013-12-31,0.0666,15.011341,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2013-03-31,0.0715,13.9881,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2012-03-31,2013-03-31,0.0746,13.413334,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2012-12-31,0.0725,13.7914,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2011-12-31,2012-12-31,0.0769,13.006967,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2012-03-31,0.0816,12.262,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2011-03-31,2012-03-31,0.0844,11.852196,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2011-12-31,0.0797,12.5469,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2010-12-31,2011-12-31,0.0864,11.578746,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2011-03-31,0.0923,10.8351,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2010-03-31,2011-03-31,0.0895,11.1773,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2010-12-31,0.0965,10.358,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2009-12-31,2010-12-31,0.0883,11.3266,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2010-03-31,0.089766,11.1401,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2009-03-31,2010-03-31,0.080208,12.4676,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2009-12-31,0.084094,11.8914,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2008-12-31,2009-12-31,0.076911,13.0021,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2009-03-31,0.073361,13.6312,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Average,2008-03-31,2009-03-31,0.067263,14.8671,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
Spot,,2008-12-31,0.075233,13.2920,"South African Rand (Commercial Rate)
    South African Rand (Financial Rate)"
