Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0053,188.354192,Syrian Pound
Average,2012-12-31,2013-12-31,0.0064,156.194264,Syrian Pound
Average,2012-03-31,2013-03-31,0.0095,105.433448,Syrian Pound
Average,2011-12-31,2012-12-31,0.01,100.277797,Syrian Pound
Average,2011-03-31,2012-03-31,0.0129,77.691921,Syrian Pound
Average,2010-12-31,2011-12-31,0.013,76.863907,Syrian Pound
Average,2010-03-31,2011-03-31,0.0138,72.2270,Syrian Pound
Average,2009-12-31,2010-12-31,0.014,71.4882,Syrian Pound
Average,2009-03-31,2010-03-31,0.013665,73.1795,Syrian Pound
Average,2008-12-31,2009-12-31,0.013884,72.0249,Syrian Pound
Average,2008-03-31,2009-03-31,0.011962,83.5987,Syrian Pound
Average,2007-12-31,2008-12-31,0.010811,92.5003,Syrian Pound
Average,2007-03-31,2008-03-31,0.009662,103.50,Syrian Pound
Average,2006-12-31,2007-12-31,0.009642,103.71,Syrian Pound
Average,2006-03-31,2007-03-31,0.010075861,99.2471,Syrian Pound
Average,2005-12-31,2006-12-31,0.010356298,96.5596,Syrian Pound
Average,2005-03-31,2006-03-31,0.01074,93.0719,Syrian Pound
Average,2004-12-31,2005-12-31,0.01054495,94.8321,Syrian Pound
Average,2004-03-31,2005-03-31,0.010625,94.1199,Syrian Pound
Average,2003-12-31,2004-12-31,0.01085427,92.1296,Syrian Pound
Average,2003-03-31,2004-03-31,0.012314,81.2087,Syrian Pound
Average,2002-12-31,2003-12-31,0.01287998,77.6399,Syrian Pound
Average,2002-03-31,2003-03-31,0.013234,75.5653,Syrian Pound
Average,2001-12-31,2002-12-31,0.01338274,74.7231,Syrian Pound
Average,2001-03-28,2002-03-28,0.0136022221,73.5174,Syrian Pound
Average,2000-12-31,2001-12-31,0.0134171458,74.5315,Syrian Pound
Average,2000-03-31,2001-03-31,0.0124756102,80.1564,Syrian Pound
Average,1999-12-29,2000-12-29,0.0126732111,78.9066,Syrian Pound
Average,1999-03-31,2000-03-31,0.0138521614,72.1909,Syrian Pound
Average,1998-12-30,1999-12-30,0.0138634341,72.1322,Syrian Pound
Average,1998-03-31,1999-03-31,0.014269,70.0802,Syrian Pound
Average,1997-12-31,1998-12-31,0.014566,68.6522,Syrian Pound
Average,1997-03-31,1998-03-31,0.015063,66.3858,Syrian Pound
Average,1996-12-30,1997-12-30,0.0149316,66.9719,Syrian Pound
Average,1996-03-31,1997-03-31,0.015044,66.4698,Syrian Pound
Average,1995-12-31,1996-12-31,0.015322,65.2647,Syrian Pound
Average,1995-03-31,1996-03-31,0.015222,65.6945,Syrian Pound
Average,1994-12-30,1995-12-30,0.015675,63.7943,Syrian Pound
Average,1994-03-31,1995-03-31,0.026338,37.9682,Syrian Pound
Average,1993-12-30,1994-12-30,0.03174,31.5057,Syrian Pound
Average,1993-03-30,1994-03-30,0.031395,31.8523,Syrian Pound
Average,1992-12-31,1993-12-31,0.031326,31.9225,Syrian Pound
Average,1992-03-31,1993-03-31,0.0284115,35.197,Syrian Pound
Average,1991-12-31,1992-12-31,0.0272613,36.682,Syrian Pound
Average,1991-03-31,1992-03-31,0.0273890,36.511,Syrian Pound
Average,1990-12-31,1991-12-31,0.0267522,37.380,Syrian Pound
Average,1990-03-31,1991-03-31,0.026043,38.398,Syrian Pound
Average,1989-12-31,1990-12-31,0.027034,36.991,Syrian Pound
