Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0201,49.676876,Thai Baht
Average,2012-12-31,2013-12-31,0.0209,47.940149,Thai Baht
Average,2012-03-31,2013-03-31,0.0205,48.714236,Thai Baht
Average,2011-12-31,2012-12-31,0.0203,49.223330,Thai Baht
Average,2011-03-31,2012-03-31,0.0205,48.846695,Thai Baht
Average,2010-12-31,2011-12-31,0.0205,48.820230,Thai Baht
Average,2010-03-31,2011-03-31,0.0207,48.3928,Thai Baht
Average,2009-12-31,2010-12-31,0.0204,49.1000,Thai Baht
Average,2009-03-31,2010-03-31,0.018618,53.7107,Thai Baht
Average,2008-12-31,2009-12-31,0.01864,53.6478,Thai Baht
Average,2008-03-31,2009-03-31,0.017146,58.3223,Thai Baht
Average,2007-12-31,2008-12-31,0.016234,61.599,Thai Baht
Average,2007-03-31,2008-03-31,0.014759,67.7565,Thai Baht
Average,2006-12-31,2007-12-31,0.014594,68.5207,Thai Baht
Average,2006-03-31,2007-03-31,0.01441859,69.3549,Thai Baht
Average,2005-12-31,2006-12-31,0.014328659,69.7902,Thai Baht
Average,2005-03-31,2006-03-31,0.0138663,72.1171,Thai Baht
Average,2004-12-31,2005-12-31,0.013671306,73.1459,Thai Baht
Average,2004-03-31,2005-03-31,0.0135158,73.9875,Thai Baht
Average,2003-12-31,2004-12-31,0.0135601,73.7457,Thai Baht
Average,2003-03-31,2004-03-31,0.01454,68.7556,Thai Baht
Average,2002-12-31,2003-12-31,0.01473,67.8966,Thai Baht
Average,2002-03-31,2003-03-31,0.0151,66.2242,Thai Baht
Average,2001-12-31,2002-12-31,0.01546,64.6788,Thai Baht
Average,2001-03-28,2002-03-28,0.0156368987,63.9513,Thai Baht
Average,2000-12-31,2001-12-31,0.0155987016,64.1079,Thai Baht
Average,2000-03-31,2001-03-31,0.0162706658,61.4603,Thai Baht
Average,1999-12-29,2000-12-29,0.0164442581,60.8115,Thai Baht
Average,1999-03-31,2000-03-31,0.0163339976,61.222,Thai Baht
Average,1998-12-30,1999-12-30,0.0163234125,61.2617,Thai Baht
Average,1998-03-31,1999-03-31,0.015546,64.3246,Thai Baht
Average,1997-12-31,1998-12-31,0.014659,68.2186,Thai Baht
Average,1997-03-31,1998-03-31,0.016652,60.0541,Thai Baht
Average,1996-12-30,1997-12-30,0.019431,51.4646,Thai Baht
Average,1996-03-31,1997-03-31,0.024694,40.4954,Thai Baht
Average,1995-12-31,1996-12-31,0.025244,39.6131,Thai Baht
Average,1995-03-31,1996-03-31,0.025549,39.1409,Thai Baht
Average,1994-12-30,1995-12-30,0.025411,39.3536,Thai Baht
Average,1994-03-31,1995-03-31,0.02569,38.9257,Thai Baht
Average,1993-12-30,1994-12-30,0.025965,38.514,Thai Baht
Average,1993-03-30,1994-03-30,0.026259,38.0827,Thai Baht
Average,1992-12-31,1993-12-31,0.026273,38.0632,Thai Baht
Average,1992-03-31,1993-03-31,0.0232872,42.942,Thai Baht
Average,1991-12-31,1992-12-31,0.0224235,44.578,Thai Baht
Average,1991-03-31,1992-03-31,0.0229937,43.490,Thai Baht
Average,1990-12-31,1991-12-31,0.0225580,44.330,Thai Baht
Average,1990-03-31,1991-03-31,0.021260,47.037,Thai Baht
Average,1989-12-31,1990-12-31,0.022052,45.347,Thai Baht
Average,1989-03-31,1990-03-31,0.024015,41.640,Thai Baht
Average,1988-12-31,1989-12-31,0.023895,41.850,Thai Baht
